File exported using Electropherogram Manipulator,,
,,
,,
Data File:,l_only,
,,
,,
,,
Sampling Rate:,4,
Total Data Points:,5001,
,,
,RFU,µA
,,
Signal (AU),,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
10000000,,
